"product_id","count"
"200001","47"
"200002","68"
"200003","50"
"200004","68"
"200005","74"
"200006","52"
"200007","46"
"200008","50"
"200009","78"
"200010","42"
"200011","79"
"200012","64"
"200013","60"
"200014","57"
"200015","66"
"200016","57"
"200017","50"
"200018","64"
"200019","55"
"200020","58"
"200021","42"
"200022","60"
"200023","53"
"200024","63"
"200025","53"
"200026","63"
"200027","48"
"200028","59"
"200029","58"
"200030","62"
"200031","61"
"200032","75"
"200033","54"
"200034","55"
"200035","45"
"200036","61"
"200037","52"
"200038","71"
"200039","67"
"200040","63"
"200041","49"
"200042","67"
"200043","61"
"200044","51"
"200045","74"
"200046","74"
"200047","49"
"200048","51"
"200049","51"
"200050","49"
"200051","60"
"200052","71"
"200053","60"
"200054","57"
"200055","62"
"200056","64"
"200057","45"
"200058","51"
"200059","68"
"200060","49"
"200061","70"
"200062","47"
"200063","63"
"200064","37"
"200065","57"
"200066","61"
"200067","55"
"200068","55"
"200069","54"
"200070","63"
"200071","61"
"200072","76"
"200073","60"
"200074","60"
"200075","43"
"200076","42"
"200077","64"
"200078","58"
"200079","57"
"200080","60"
"200081","73"
"200082","68"
"200083","62"
"200084","58"
"200085","59"
"200086","63"
"200087","51"
"200088","59"
"200089","63"
"200090","60"
"200091","52"
"200092","50"
"200093","58"
"200094","62"
"200095","60"
"200096","49"
"200097","62"
"200098","44"
"200099","65"
"200100","41"
"200101","76"
"200102","60"
"200103","63"
"200104","53"
"200105","67"
"200106","64"
"200107","64"
"200108","67"
"200109","62"
"200110","67"
"200111","61"
"200112","55"
"200113","44"
"200114","53"
"200115","66"
"200116","62"
"200117","69"
"200118","47"
"200119","54"
"200120","69"
"200121","51"
"200122","57"
"200123","77"
"200124","62"
"200125","52"
"200126","56"
"200127","53"
"200128","53"
"200129","52"
"200130","56"
"200131","75"
"200132","86"
"200133","66"
"200134","67"
"200135","61"
"200136","68"
"200137","50"
"200138","55"
"200139","66"
"200140","52"
"200141","66"
"200142","66"
"200143","60"
"200144","65"
"200145","67"
"200146","59"
"200147","62"
"200148","52"
"200149","51"
"200150","47"
"200151","48"
"200152","69"
"200153","72"
"200154","47"
"200155","59"
"200156","51"
"200157","72"
"200158","72"
"200159","67"
"200160","66"
"200161","63"
"200162","56"
"200163","61"
"200164","47"
"200165","67"
"200166","63"
"200167","58"
"200168","55"
"200169","46"
"200170","63"
"200171","54"
"200172","64"
"200173","66"
"200174","53"
"200175","52"
"200176","54"
"200177","61"
"200178","66"
"200179","59"
"200180","42"
"200181","56"
"200182","58"
"200183","66"
"200184","64"
"200185","59"
"200186","73"
"200187","49"
"200188","53"
"200189","54"
"200190","51"
"200191","55"
"200192","53"
"200193","62"
"200194","61"
"200195","78"
"200196","59"
"200197","54"
"200198","57"
"200199","62"
"200200","54"
"200201","65"
"200202","68"
"200203","51"
"200204","56"
"200205","57"
"200206","71"
"200207","56"
"200208","74"
"200209","59"
"200210","74"
"200211","53"
"200212","69"
"200213","46"
"200214","64"
"200215","57"
"200216","61"
"200217","57"
"200218","60"
"200219","61"
"200220","68"
"200221","42"
"200222","56"
"200223","60"
"200224","43"
"200225","51"
"200226","66"
"200227","64"
"200228","69"
"200229","64"
"200230","50"
"200231","64"
"200232","64"
"200233","70"
"200234","50"
"200235","61"
"200236","62"
"200237","58"
"200238","56"
"200239","54"
"200240","64"
"200241","54"
"200242","66"
"200243","62"
"200244","55"
"200245","70"
"200246","50"
"200247","73"
"200248","56"
"200249","57"
"200250","67"
"200251","66"
"200252","57"
"200253","59"
"200254","60"
"200255","54"
"200256","66"
"200257","60"
"200258","54"
"200259","57"
"200260","68"
"200261","64"
"200262","68"
"200263","46"
"200264","66"
"200265","51"
"200266","66"
"200267","54"
"200268","54"
"200269","54"
"200270","59"
"200271","61"
"200272","52"
"200273","64"
"200274","50"
"200275","63"
"200276","73"
"200277","62"
"200278","49"
"200279","60"
"200280","63"
"200281","60"
"200282","58"
"200283","59"
"200284","62"
"200285","60"
"200286","49"
"200287","55"
"200288","63"
"200289","61"
"200290","52"
"200291","74"
"200292","55"
"200293","60"
"200294","43"
"200295","59"
"200296","51"
"200297","52"
"200298","66"
"200299","71"
"200300","47"
"200301","53"
"200302","64"
"200303","66"
"200304","57"
"200305","65"
"200306","50"
"200307","77"
"200308","59"
"200309","55"
"200310","55"
"200311","54"
"200312","56"
"200313","61"
"200314","69"
"200315","48"
"200316","68"
"200317","62"
"200318","71"
"200319","69"
"200320","57"
"200321","52"
"200322","58"
"200323","65"
"200324","81"
"200325","48"
"200326","61"
"200327","55"
"200328","50"
"200329","65"
"200330","43"
"200331","51"
"200332","58"
"200333","55"
"200334","63"
"200335","58"
"200336","69"
"200337","57"
"200338","59"
"200339","51"
"200340","67"
"200341","76"
"200342","69"
"200343","58"
"200344","67"
"200345","56"
"200346","65"
"200347","62"
"200348","67"
"200349","47"
"200350","65"
"200351","63"
"200352","67"
"200353","65"
"200354","57"
"200355","56"
"200356","64"
"200357","47"
"200358","63"
"200359","56"
"200360","45"
"200361","63"
"200362","66"
"200363","62"
"200364","61"
"200365","64"
"200366","55"
"200367","65"
"200368","60"
"200369","50"
"200370","56"
"200371","44"
"200372","57"
"200373","58"
"200374","60"
"200375","64"
"200376","62"
"200377","53"
"200378","69"
"200379","50"
"200380","67"
"200381","48"
"200382","45"
"200383","55"
"200384","52"
"200385","49"
"200386","60"
"200387","68"
"200388","59"
"200389","55"
"200390","55"
"200391","66"
"200392","74"
"200393","53"
"200394","46"
"200395","63"
"200396","53"
"200397","67"
"200398","67"
"200399","62"
"200400","51"
"200401","45"
"200402","43"
"200403","60"
"200404","69"
"200405","60"
"200406","59"
"200407","69"
"200408","59"
"200409","54"
"200410","71"
"200411","59"
"200412","57"
"200413","39"
"200414","75"
"200415","55"
"200416","61"
"200417","58"
"200418","62"
"200419","74"
"200420","49"
"200421","60"
"200422","57"
"200423","62"
"200424","61"
"200425","49"
"200426","72"
"200427","59"
"200428","54"
"200429","65"
"200430","61"
"200431","82"
"200432","63"
"200433","65"
"200434","60"
"200435","59"
"200436","62"
"200437","61"
"200438","64"
"200439","49"
"200440","71"
"200441","75"
"200442","63"
"200443","58"
"200444","83"
"200445","49"
"200446","59"
"200447","51"
"200448","51"
"200449","64"
"200450","53"
"200451","67"
"200452","57"
"200453","54"
"200454","77"
"200455","64"
"200456","57"
"200457","56"
"200458","69"
"200459","51"
"200460","61"
"200461","53"
"200462","53"
"200463","77"
"200464","54"
"200465","53"
"200466","56"
"200467","69"
"200468","57"
"200469","48"
"200470","58"
"200471","62"
"200472","60"
"200473","53"
"200474","60"
"200475","65"
"200476","72"
"200477","47"
"200478","56"
"200479","53"
"200480","60"
"200481","57"
"200482","52"
"200483","64"
"200484","60"
"200485","69"
"200486","59"
"200487","57"
"200488","56"
"200489","68"
"200490","50"
"200491","47"
"200492","70"
"200493","60"
"200494","73"
"200495","66"
"200496","54"
"200497","58"
